Campaign name,Day,Delivery status,Delivery level,Result Type,Results,Cost per result,Amount spent (INR),Impressions,Reach,Attribution setting,Quality ranking,Engagement rate ranking,Conversion rate ranking,Ad set name,Reporting starts,Reporting ends
We’re Hiring _ Tansi Honda,3/9/2026,recently_completed,campaign,Leads (form),31,10.34,320.54,9937,7893,7-day click or 1-day view,-,-,-,,3/9/2026,3/9/2026
Rev-up for a New Ride @ Honda BigWing WFD,3/9/2026,active,campaign,Leads (form),1,307.77,307.77,8746,7320,7-day click or 1-day view,-,-,-,,3/9/2026,3/9/2026
Corporate Benefit Scheme on Honda 2-Wheelers,3/9/2026,active,campaign,Leads (form),2,136.145,272.29,4076,3399,7-day click or 1-day view,-,-,-,,3/9/2026,3/9/2026
Exchange & Upgrade to an Amazing new Honda,3/9/2026,active,campaign,Leads (form),4,75.8975,303.59,8985,7588,7-day click or 1-day view,-,-,-,,3/9/2026,3/9/2026
Buy a Honda from Home _ Connect with us on Video chat,3/9/2026,active,campaign,Leads (form),3,99.81,299.43,3343,2604,7-day click or 1-day view,-,-,-,,3/9/2026,3/9/2026
Dio 125 X Edition,3/9/2026,active,campaign,Leads (form),10,37.624,376.24,14118,11391,7-day click or 1-day view,-,-,-,,3/9/2026,3/9/2026
Shine 125 Limited Edition,3/9/2026,active,campaign,Leads (form),7,45.88857143,321.22,17902,13746,7-day click or 1-day view,-,-,-,,3/9/2026,3/9/2026
CB125 Hornet Get 5+5 Insurance Free,3/9/2026,active,campaign,Leads (form),2,165.74,331.48,14280,11129,7-day click or 1-day view,-,-,-,,3/9/2026,3/9/2026
Buy a Honda from Home _ BW,3/9/2026,active,campaign,Leads (form),7,43.15142857,302.06,4664,3862,7-day click or 1-day view,-,-,-,,3/9/2026,3/9/2026
Activa King of Scooters,3/9/2026,active,campaign,Leads (form),15,21.81133333,327.17,5958,4283,7-day click or 1-day view,-,-,-,,3/9/2026,3/9/2026
Shine 125 Limited Edition,3/8/2026,active,campaign,Leads (form),7,48.27714286,337.94,15985,12400,7-day click or 1-day view,-,-,-,,3/8/2026,3/8/2026
We’re Hiring _ Tansi Honda,3/8/2026,recently_completed,campaign,Leads (form),39,8.00025641,312.01,7338,5739,7-day click or 1-day view,-,-,-,,3/8/2026,3/8/2026
Rev-up for a New Ride @ Honda BigWing WFD,3/8/2026,active,campaign,Leads (form),1,320.77,320.77,6508,5481,7-day click or 1-day view,-,-,-,,3/8/2026,3/8/2026
Exchange & Upgrade to an Amazing new Honda,3/8/2026,active,campaign,Leads (form),2,154.94,309.88,6514,5736,7-day click or 1-day view,-,-,-,,3/8/2026,3/8/2026
Dio 125 X Edition,3/8/2026,active,campaign,Leads (form),5,73.82,369.1,12960,9925,7-day click or 1-day view,-,-,-,,3/8/2026,3/8/2026
CB125 Hornet Get 5+5 Insurance Free,3/8/2026,active,campaign,Leads (form),2,157.025,314.05,11988,8993,7-day click or 1-day view,-,-,-,,3/8/2026,3/8/2026
Buy a Honda from Home _ BW,3/8/2026,active,campaign,Leads (form),7,49.36428571,345.55,4485,3626,7-day click or 1-day view,-,-,-,,3/8/2026,3/8/2026
Activa King of Scooters,3/8/2026,active,campaign,Leads (form),6,55.96333333,335.78,4824,3312,7-day click or 1-day view,-,-,-,,3/8/2026,3/8/2026
Buy a Honda from Home _ Connect with us on Video chat,3/8/2026,active,campaign,Leads (form),3,99.96,299.88,3464,2837,7-day click or 1-day view,-,-,-,,3/8/2026,3/8/2026
Corporate Benefit Scheme on Honda 2-Wheelers,3/8/2026,active,campaign,Leads (form),3,91.53,274.59,3678,3086,7-day click or 1-day view,-,-,-,,3/8/2026,3/8/2026
Buy a Honda from Home _ BW,3/7/2026,active,campaign,Leads (form),7,45.51714286,318.62,4782,3662,7-day click or 1-day view,-,-,-,,3/7/2026,3/7/2026
CB125 Hornet Get 5+5 Insurance Free,3/7/2026,active,campaign,Leads (form),6,51.12333333,306.74,11816,9522,7-day click or 1-day view,-,-,-,,3/7/2026,3/7/2026
Dio 125 X Edition,3/7/2026,active,campaign,Leads (form),3,111.57,334.71,10896,8094,7-day click or 1-day view,-,-,-,,3/7/2026,3/7/2026
Shine 125 Limited Edition,3/7/2026,active,campaign,Leads (form),11,28.12909091,309.42,11396,8483,7-day click or 1-day view,-,-,-,,3/7/2026,3/7/2026
Rev-up for a New Ride @ Honda BigWing WFD,3/7/2026,active,campaign,Leads (form),3,95.82333333,287.47,7571,6239,7-day click or 1-day view,-,-,-,,3/7/2026,3/7/2026
We’re Hiring _ Tansi Honda,3/7/2026,recently_completed,campaign,Leads (form),36,7.76222222,279.44,7135,5766,7-day click or 1-day view,-,-,-,,3/7/2026,3/7/2026
Buy a Honda from Home _ Connect with us on Video chat,3/7/2026,active,campaign,Leads (form),8,32.73625,261.89,3133,2549,7-day click or 1-day view,-,-,-,,3/7/2026,3/7/2026
Exchange & Upgrade to an Amazing new Honda,3/7/2026,active,campaign,Leads (form),10,51.286,512.86,12784,11374,7-day click or 1-day view,-,-,-,,3/7/2026,3/7/2026
Corporate Benefit Scheme on Honda 2-Wheelers,3/7/2026,active,campaign,Leads (form),4,77.6275,310.51,5865,5169,7-day click or 1-day view,-,-,-,,3/7/2026,3/7/2026
Activa King of Scooters,3/7/2026,active,campaign,Leads (form),9,30.83555556,277.52,3376,2358,7-day click or 1-day view,-,-,-,,3/7/2026,3/7/2026
CB125 Hornet Get 5+5 Insurance Free,3/6/2026,active,campaign,Leads (form),4,92.7325,370.93,13494,10286,7-day click or 1-day view,-,-,-,,3/6/2026,3/6/2026
We’re Hiring _ Tansi Honda,3/6/2026,recently_completed,campaign,Leads (form),36,8.11861111,292.27,7086,5491,7-day click or 1-day view,-,-,-,,3/6/2026,3/6/2026
Exchange & Upgrade to an Amazing new Honda,3/6/2026,active,campaign,Leads (form),7,72.71428571,509,14241,12977,7-day click or 1-day view,-,-,-,,3/6/2026,3/6/2026
Buy a Honda from Home _ Connect with us on Video chat,3/6/2026,active,campaign,Leads (form),3,117.4033333,352.21,4417,3425,7-day click or 1-day view,-,-,-,,3/6/2026,3/6/2026
Activa – King of Scooters 👑,3/6/2026,recently_completed,campaign,Leads (form),2,5.63,11.26,159,148,7-day click or 1-day view,-,-,-,,3/6/2026,3/6/2026
Activa King of Scooters,3/6/2026,active,campaign,Leads (form),3,109.64,328.92,3375,2448,7-day click or 1-day view,-,-,-,,3/6/2026,3/6/2026
Rev-up for a New Ride @ Honda BigWing WFD,3/6/2026,active,campaign,Leads (form),6,51.31166667,307.87,6859,5424,7-day click or 1-day view,-,-,-,,3/6/2026,3/6/2026
Shine 125 Limited Edition,3/6/2026,active,campaign,Leads (form),14,29.84428571,417.82,12809,8995,7-day click or 1-day view,-,-,-,,3/6/2026,3/6/2026
Dio 125 X Edition,3/6/2026,active,campaign,Leads (form),11,38.53727273,423.91,12562,8928,7-day click or 1-day view,-,-,-,,3/6/2026,3/6/2026
Buy a Honda from Home _ BW,3/6/2026,active,campaign,Leads (form),6,60.14166667,360.85,5614,4304,7-day click or 1-day view,-,-,-,,3/6/2026,3/6/2026
Corporate Benefit Scheme on Honda 2-Wheelers,3/6/2026,active,campaign,Leads (form),5,74.914,374.57,5152,4294,7-day click or 1-day view,-,-,-,,3/6/2026,3/6/2026
Buy a Honda from Home _ Connect with us on Video chat,3/5/2026,active,campaign,Leads (form),5,59.002,295.01,5943,5397,7-day click or 1-day view,-,-,-,,3/5/2026,3/5/2026
CB125 Hornet Get 5+5 Insurance Free,3/5/2026,active,campaign,Leads (form),3,79.35333333,238.06,10387,8783,7-day click or 1-day view,-,-,-,,3/5/2026,3/5/2026
Corporate Benefit Scheme on Honda 2-Wheelers,3/5/2026,active,campaign,Leads (form),2,85.585,171.17,2686,2344,7-day click or 1-day view,-,-,-,,3/5/2026,3/5/2026
We’re Hiring _ Tansi Honda,3/5/2026,recently_completed,campaign,Leads (form),35,9.20514286,322.18,7987,6792,7-day click or 1-day view,-,-,-,,3/5/2026,3/5/2026
Activa – King of Scooters 👑,3/5/2026,recently_completed,campaign,Leads (form),7,68.21285714,477.49,16196,14669,7-day click or 1-day view,-,-,-,,3/5/2026,3/5/2026
Activa King of Scooters,3/5/2026,active,campaign,,,,0,1,1,7-day click or 1-day view,-,-,-,,3/5/2026,3/5/2026
Rev-up for a New Ride @ Honda BigWing WFD,3/5/2026,active,campaign,Leads (form),2,153.28,306.56,7488,6584,7-day click or 1-day view,-,-,-,,3/5/2026,3/5/2026
Shine 125 Limited Edition,3/5/2026,active,campaign,Leads (form),8,28.98,231.84,7771,6486,7-day click or 1-day view,-,-,-,,3/5/2026,3/5/2026
Dio 125 X Edition,3/5/2026,active,campaign,Leads (form),10,29.504,295.04,8793,7191,7-day click or 1-day view,-,-,-,,3/5/2026,3/5/2026
Buy a Honda from Home _ BW,3/5/2026,active,campaign,Leads (form),2,100.105,200.21,3376,2788,7-day click or 1-day view,-,-,-,,3/5/2026,3/5/2026
Corporate Benefit Scheme on Honda 2-Wheelers,3/4/2026,active,campaign,,,,237.57,2372,1770,7-day click or 1-day view,-,-,-,,3/4/2026,3/4/2026
Buy a Honda from Home _ Connect with us on Video chat,3/4/2026,active,campaign,Leads (form),4,66.275,265.1,3672,2967,7-day click or 1-day view,-,-,-,,3/4/2026,3/4/2026
Activa – King of Scooters 👑,3/4/2026,recently_completed,campaign,Leads (form),13,21.40307692,278.24,6874,5737,7-day click or 1-day view,-,-,-,,3/4/2026,3/4/2026
We’re Hiring _ Tansi Honda,3/4/2026,recently_completed,campaign,Leads (form),41,6.64,272.24,9066,7564,7-day click or 1-day view,-,-,-,,3/4/2026,3/4/2026
Rev-up for a New Ride @ Honda BigWing WFD,3/4/2026,active,campaign,Leads (form),3,101.8366667,305.51,6727,5311,7-day click or 1-day view,-,-,-,,3/4/2026,3/4/2026
Shine 125 Limited Edition,3/4/2026,active,campaign,Leads (form),5,48.606,243.03,7360,5153,7-day click or 1-day view,-,-,-,,3/4/2026,3/4/2026
Dio 125 X Edition,3/4/2026,active,campaign,Leads (form),4,34.82,139.28,2952,2369,7-day click or 1-day view,-,-,-,,3/4/2026,3/4/2026
CB125 Hornet Get 5+5 Insurance Free,3/4/2026,active,campaign,Leads (form),1,74.57,74.57,3168,2590,7-day click or 1-day view,-,-,-,,3/4/2026,3/4/2026
Buy a Honda from Home _ BW,3/4/2026,active,campaign,Leads (form),3,34.00666667,102.02,1713,1448,7-day click or 1-day view,-,-,-,,3/4/2026,3/4/2026
We’re Hiring _ Tansi Honda,3/3/2026,recently_completed,campaign,Leads (form),38,8.07105263,306.7,11176,8257,7-day click or 1-day view,-,-,-,,3/3/2026,3/3/2026
Activa – King of Scooters 👑,3/3/2026,recently_completed,campaign,Leads (form),8,46.20625,369.65,8864,6574,7-day click or 1-day view,-,-,-,,3/3/2026,3/3/2026
Buy a Honda from Home _ Connect with us on Video chat,3/3/2026,active,campaign,Leads (form),5,74.328,371.64,5264,3990,7-day click or 1-day view,-,-,-,,3/3/2026,3/3/2026
Corporate Benefit Scheme on Honda 2-Wheelers,3/3/2026,active,campaign,Leads (form),5,67.216,336.08,3748,2790,7-day click or 1-day view,-,-,-,,3/3/2026,3/3/2026
Buy a Honda from Home _ Connect with us on Video chat,3/2/2026,active,campaign,Leads (form),3,112.6633333,337.99,6432,5570,7-day click or 1-day view,-,-,-,,3/2/2026,3/2/2026
Corporate Benefit Scheme on Honda 2-Wheelers,3/2/2026,active,campaign,Leads (form),1,314.7,314.7,4545,3777,7-day click or 1-day view,-,-,-,,3/2/2026,3/2/2026
Activa – King of Scooters 👑,3/2/2026,recently_completed,campaign,Leads (form),8,43.42875,347.43,10192,8522,7-day click or 1-day view,-,-,-,,3/2/2026,3/2/2026
We’re Hiring _ Tansi Honda,3/2/2026,recently_completed,campaign,Leads (form),50,6.6648,333.24,12019,8320,7-day click or 1-day view,-,-,-,,3/2/2026,3/2/2026
We’re Hiring _ Tansi Honda,3/1/2026,recently_completed,campaign,Leads (form),50,5.7896,289.48,9001,6887,7-day click or 1-day view,-,-,-,,3/1/2026,3/1/2026
